0,1,2,3
,"Degree-
Seeking
First-Time
First Year","Degree-Seeking
Undergrad-uates
(include first-time first-
year)","Total
Undergraduates (both
degree- and non-
degree-seeking)"
International,232,831,"1,044"
Hispanic/Latino,216,839,862
"Black or African American, non-Hispanic",172,594,595
"White, non-Hispanic",540,"2,764","2,779"
"American Indian or Alaska Native, non-Hispanic",6,27,27
"Asian, non-Hispanic",357,"1,377","1,388"
"Native Hawaiian or other Pacific Islander, non-Hispanic",4,13,13
"Two or more races, non-Hispanic",147,564,566
Race and/or ethnicity unknown,43,213,365
TOTAL,"1,717","7,222","7,639"
