0,1,2,3,4,5
"C. FIRST-TIME, FIRST-YEAR (FRESHMAN) ADMISSION",,,,,
C8C Please indicate how your institution will use the SAT or ACT essay component; check all that apply.,,,,,
C8D,,SAT essay,ACT essay,,
,For admission,,,,
,For placement,,,,
,For advising,,,,
,In place of an application essay,,,,
,"As a validity check on the
application process",,,,
,No college policy as of now,,,,
,Not using essay component,X,X,,
,,,,,
X,,,,,
"C8E
C8F
C8G",,,,,
X,,,,,
X,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C9,,,,,
,,Percent,Number,,
,Submitting SAT Scores,48%,1022,,
,Submitting ACT Scores,31%,664,,
