0,1,2
,Need based $,"Non need based
$"
Scholarships/Grants,,
Federal,"$7,698,358",$0
"State (all states, not only the state in which your institution is located)","$363,241",$0
"Institutional: Endowed scholarships, annual gifts and tuition-funded grants, awarded
by the college, excluding athletic aid and tuition waivers (which are reported below)","$107,232,006","$14,597,285"
"Scholarships/grants from external sources (e.g., Kiwanis, National Merit) not
awarded by the college","$794,157","$2,527,596"
TOTAL Scholarships/Grants,"$116,087,762","$17,124,881"
,,
Self-Help,,
Student loans from all sources (excluding parent loans),"$12,221,680","$9,749,368"
Federal Work-Study,"$7,175,656",
"State and other (e.g., institutional) work-study/employment (Note: Excludes
Federal Work Study captured above.)",$0,$0
TOTAL Self-Help,"$19,397,336","$9,749,368"
,,
Parent Loans,"$41,782","$6,324,617"
Tuition Waivers,"$805,779","$6,360,441"
Athletic Awards,$0,$0
