0,1,2,3,4
ti t d b d t d,t l FU thLiL- lTiIMkE,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",617,671,,
"Other first-year, degree-seekin",g 6,7,,
All other degree-seeking,"2,000","1,935",,
Total degree-seeking,"2,623","2,613",0,0
"All other undergraduates
enrolled in credit courses",3,1,48,33
Total undergraduates,"2,626","2,614",48,33
Graduate,,,,
"Degree-seeking, first-time",386,312,,
All other degree-seeking,"1,443","1,001",,
"All other graduates enrolled in
credit courses",11,4,,
Total graduate,1840,1317,0,0
Total all students,"4,466","3,931",48,33
