0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,"Another
Gender",Men,Women,"Another
Gender"
Undergraduate Students,Undergraduate Students,,,,,
"Degree-seeking, first-time,
first-year students",693,733,37,,,
"Other first-year,
degree-seeking students",,,,,,
"All other degree-seeking
undergraduate students","2,608","2,575",5,12,5,
"Total degree-seeking
undergraduate students","3,301","3,308",42,12,5,0
"All other undergraduates
enrolled in credit courses",,,,,,
Undergraduate Students,"3,301","3,308",42,12,5,0
Graduate Students,Graduate Students,,,,,
"Degree-seeking, first-time",,,,,,
All other degree-seeking,"8,733","11,387",,"2,887","2,873",
"All other graduates
enrolled in credit courses",,,,,,
Total Graduate Studentsb2,"8,733","11,387",,"2,887","2,873",
Total All Students,"12,034","14,695",42,"2,899","2,878",0
