0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,102,479,497
Hispanic/Latino,144,650,651
"Black or African American, non-Hispanic",77,308,308
"White, non-Hispanic",303,1246,1249
"American Indian or Alaska Native, non-Hispanic",0,3,3
"Asian, non-Hispanic",303,1118,1119
"Native Hawaiian or other Pacific Islander, non-Hispanic",1,5,5
"Two or more races, non-Hispanic",54,201,201
Race and/or ethnicity unknown,9,42,43
TOTAL,993,4052,4076
