0,1,2,3,4
,FULL-TIME,,PART-TIME,
,Men,Women,Men,Women
Undergraduate Students,,,,
"Degree-seeking, first-time freshmen students",149,121,,
"Other first-year, degree-seeking students",4,0,,
"All other degree-seeking undergraduate
students",393,320,,
"Total degree-seeking undergraduate
students",546,441,,
"All other undergraduates enrolled in credit
courses",0,0,,
(cid:55)(cid:82)(cid:87)(cid:68)(cid:79)(cid:3)Undergraduate Students,546,441,0,0
Graduate Students,,,,
"Degree-seeking, first-time",182,118,,
All other degree-seeking,759,351,,
All other graduates enrolled in credit courses,0,0,,
Total Graduate Students,941,469,0,0
Total All Students,1487,910,0,0
