0,1,2,3
,"Degree‐Seeking
First‐Time
First Year","Degree‐Seeking
Undergraduates
(include first‐time
first‐year)","Total
Undergraduates
(both degree‐ and
non‐degree‐seeking)"
Nonresident aliens,156,524,530
Hispanic/Latino,183,660,660
"Black or African American, non‐Hispanic",102,337,337
"White, non‐Hispanic",319,1257,1258
"American Indian or Alaska Native, non‐Hispanic",2,2,2
"Asian, non‐Hispanic",371,1203,1203
"Native Hawaiian or other Pacific Islander, non‐Hispanic",2,4,4
"Two or more races, non‐Hispanic",59,205,205
Race and/or ethnicity unknown,23,48,48
TOTAL,1217,4240,4247
