0,1,2,3,4,5
"C. FIRST-TIME, FIRST-YEAR (FRESHMAN) ADMISSION",,,,,
"C1-C2: Applications
C1 First-time, first-year (freshman) students: Provide the number of degree-seeking, first-time, first-year
students who applied, were admitted, and enrolled (full- or part-time) in Fall 2020.
• Include early decision, early action, and students who began studies during summer in this cohort.
• Applicants should include only those students who fulfilled the requirements for consideration for
admission (i.e., who completed actionable applications) and who have been notified of one of the
following actions: admission, non-admission, placement on waiting list, or application withdrawn (by
applicant or institution).
• Admitted applicants should include wait-listed students who were subsequently offered admission.
Total first-time, first-year (freshman) men who applied 23801
Total first-time, first-year (freshman) women who applied 21426
Total first-time, first-year (freshman) men who were admitted 1127
Total first-time, first-year (freshman) women who were admitted 1222
Total full-time, first-time, first-year (freshman) men who enrolled 777
Total part-time, first-time, first-year (freshman) men who enrolled
Total full-time, first-time, first-year (freshman) women who enrolled 830
Total part-time, first-time, first-year (freshman) women who enrolled
C2 Freshman wait-listed students
Students who met admission requirements but whose final admission was contingent on space availability",,,,,
C3,,Yes,No,,
,"Do you have a policy of placing students on a waiting
list?",X,,,
X,,,,,
,,,,,
,,,,,
C4,,,,,
,,,,,
X,,,,,
,,,,,
,,,,,
