0,1,2
,Need based $,"Non need based
$"
Scholarships/Grants,,
Federal,"$8,638,737",$0
"State (all states, not only the state in which your institution is located)","$703,154",$0
"Institutional: Endowed scholarships, annual gifts and tuition-funded grants, awarded
by the college, excluding athletic aid and tuition waivers (which are reported below)","$119,337,347","$17,164,012"
"Scholarships/grants from external sources (e.g., Kiwanis, National Merit) not
awarded by the college","$1,041,316","$2,352,950"
TOTAL Scholarships/Grants,"$129,720,554","$19,516,962"
,,
Self-Help,,
Student loans from all sources (excluding parent loans),"$11,349,454","$8,544,045"
Federal Work-Study,"$7,219,636",
"State and other (e.g., institutional) work-study/employment (Note: Excludes
Federal Work Study captured above.)",$0,$0
TOTAL Self-Help,"$18,569,090","$8,544,045"
,,
Parent Loans,"$122,141","$7,692,966"
Tuition Waivers,"$567,054","$6,649,598"
Athletic Awards,$0,$0
