0,1,2
,Need based $,"Non need based
$"
Scholarships/Grants,,
Federal,"$9,669,986",$0
"State (all states, not only the state in which your ins(cid:415)tu(cid:415)on is located)","$477,784",$0
"Ins(cid:415)tu(cid:415)onal: Endowed scholarships, annual gi(cid:332)s and tui(cid:415)on‐funded grants, awarded
by the college, excluding athle(cid:415)c aid and tui(cid:415)on waivers (which are reported below)","$130,277,160","$16,599,085"
"Scholarships/grants from external sources (e.g., Kiwanis, Na(cid:415)onal Merit) not
awarded by the college","$1,134,820","$2,289,678"
TOTAL Scholarships/Grants,"$141,559,750","$18,888,763"
,,
Self‐Help,,
Student loans from all sources (excluding parent loans),"$10,409,516","$9,274,494"
Federal Work‐Study,"$7,231,829",
"State and other (e.g., ins(cid:415)tu(cid:415)onal) work‐study/employment (Note: Excludes
Federal Work Study captured above.)",$0,$0
TOTAL Self‐Help,"$17,641,345","$9,274,494"
,,
Parent Loans,"$64,364","$7,313,070"
Tui(cid:415)on Waivers,"$532,332","$7,200,414"
Athle(cid:415)c Awards,$0,$0
