0,1,2
,SAT essay,ACT essay
For admission,,
For placement,,
For advising,,
In place of an application essay,,
As a validity check on the application essay,,
No college policy as of now,,
Not using essay component,X,X
,No,
Latest date by which SAT or ACT scores must be received for fall-term admission,,Feb. 1
Latest date by which SAT Subject Test scores must be received for fall-term admission,,
"If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or
if tests are not required of some students): International and home-schooled students should review policies
at: admissions.umich.edu",,
