0,1,2,3
,First-Year,Undergraduates*,
PRIVATE INSTITUTIONS Tuition,,,
PUBLIC INSTITUTIONS Tuition(In-district),,,
PUBLIC INSTITUTIONS In-state,"$16,404","$17,454",
PUBLIC INSTITUTIONS Out-of-state,"$55,002","$56,941",
US nonresident Tuition,"$55,002","$56,941",
,,,
REQUIRED FEES (all students),$332,$332,
REQUIRED FEES (international students),"$1,000 $1,000",,
,,,
ROOM AND BOARD (on-campus),"$13,171","$13,171",
ROOM ONLY (on-campus),,,
BOARD ONLY (on-campus meal plan),,,
"Comprehensive tuition and room and board fee (if your college cannot
provide separate tuition and room and board fees):",,n/a,
,,Minimum,Maximum
Number of credits per term a student can take for the stated full-time tuition,,12,18
"Do tuition and fees vary by year of study (e.g., sophomore, junior)?",,Yes,
Do tuition and fees vary by undergraduate instructional program?,,Yes,
"If yes, what percentage of full-time undergraduates pay more than the
tuition and fees reported in G1?",,37%,
