0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,222,785,
Hispanic/Latino,304,"1,056",
"Black or African American, non-Hispanic",137,479,
"White, non-Hispanic",285,"1,368",
"American Indian or Alaska Native, non-Hispanic",0,4,
"Asian, non-Hispanic",352,"1,524",
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,3,
"Two or more races, non-Hispanic",93,391,
Race and/or ethnicity unknown,27,117,
TOTAL,"1,420","5,727",0
