0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,181,684,703
Hispanic/Latino,134,547,547
"Black or African American, non-Hispanic",123,479,479
"White, non-Hispanic",435,"2,007","2,007"
"American Indian or Alaska Native, non-Hispanic",2,8,8
"Asian, non-Hispanic",330,"1,323","1,323"
"Native Hawaiian or other Pacific Islander, non-Hispanic",1,6,6
"Two or more races, non-Hispanic",96,391,391
Race and/or ethnicity unknown,62,134,134
TOTAL,"1,364","5,579","5,598"
