0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,159,610,
Hispanic/Latino,146,551,
"Black or African American, non-Hispanic",102,436,
"White, non-Hispanic",484,"2,016",
"American Indian or Alaska Native, non-Hispanic",2,10,
"Asian, non-Hispanic",273,"1,199",
"Native Hawaiian or other Pacific Islander, non-
Hispanic",1,5,
"Two or more races, non-Hispanic",95,336,
Race and/or ethnicity unknown,26,73,
TOTAL,"1,288","5,236",0
