0,1,2,3,4
G. ANNUAL EXPENSES,,,,
"G0 Please provide the URL of your institutionʼs net price calculator:
Provide 2022-2023 academic year costs of attendance for the following categories that are applicable to
your institution.
X Check here if your institution's 2022-2023 academic year costs of attendance are not available at this time and
provide an approximate date (i.e., month/day) when your institution's final 2022-2023 academic year costs of
attendance will be available:
https://financialaid.stanford.edu/undergrad/how/calculator/index.html#net-price-calculator
G1 Undergraduate full-time tuition, required fees, room and board
List the typical tuition, required fees, and room and board for a full-time undergraduate student for the FULL
2022-2023 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition
by multiplying credit hour cost by number of credits).
• A full academic year refers to the period of time generally extending from September to June; usually
equated to two semesters, two trimesters, three quarters, or the period covered by a four-one-four plan.
• Room and board is defined as double occupancy and 19 meals per week or the maximum meal plan.
• Required fees include only charges that all full-time students must pay that are not included in tuition
(e.g., registration, health, or activity fees.)
• Do not include optional fees (e.g., parking, laboratory use).",,,,
"G1
G2
G3
G4",,First-Year,Undergraduates,
,PRIVATE INSTITUTIONS,,,
,Tuition:,"$55,473","$55,473",
,PUBLIC INSTITUTIONS,,,
,Tuition: In-district,,,
,Tuition: In-state (out-of-district):,,,
,Tuition: Out-of-state:,,,
,Tuition: Non-resident alien,,,
,FOR ALL INSTITUTIONS,,,
,Required Fees,$696,$696,
,Room and Board (on-campus):,"$17,860","$17,860",
,Room Only (on-campus):,"$11,167","$11,167",
,Board Only (on-campus meal plan):,"$6,693","$6,693",
