0,1,2,3,4
G. ANNUAL EXPENSES,,,,
"G0. Net Price Calculator URL
Please provide the URL of your instititution's net price calculator:
https://financialaid.stanford.edu/undergrad/how/calculator/index.html#net-price-calculator
For the following sections, please provide 2024-2025 academic year costs of attendance for the following categories that are applicable to your
institution.
If your institution's 2024-2025 academic year costs of attendance are not available at this time, please select the checkbox below and enter the
approximate date (i.e. MM/DD) when your institution's final 2024-2025 academic year costs of attendance will be available.
Tuition and Fee Data Provided are: Firm and Final
Approximate date costs will be available:
G1. Undergraduate, full-time tuition, required fees, food and housing
List the typical tuition, required fees, and food and housing for a full-time undergraduate student for the FULL 2024-2025 academic year. (30 semester
hours or 45 quarter hours for institutions that derive annual tuition by multiplying credit hour cost by number of credits).
A full academic year refers to the period of time generally extending from September to June; usually equated to two semesters, two trimesters, three
quarters, or the period covered by a four-one-four plan.
Food and housing is defined as double occupancy and 19 meals per week or the maximum meal plan.
Required fees include only charges that all full-time students must pay that are not included in tuition (e.g., registration, health, or activity fees.)
Do not include optional fees (e.g., parking, laboratory use).",,,,
"If your instituti
please enter th
Other tuition o
G2. Credits
Please enter th
G3. Tuition
Do tuition and
G4. Tuition
Do tuition and
If yes, what pe",,First-Year,Undergraduate,
,PRIVATE INSTITUTION,,,
,Tuition:,"$65,127","$65,127",
,PUBLIC INSTITUTION,,,
,Tuition: In-district,,,
,Tuition: In-state (out-of-district):,,,
,Tuition: Out-of-state:,,,
,Tuitition: International (non-resident),,,
,FOR ALL INSTITUTIONS,,,
,Required Fees:,$783,$783,
,Food and Housing (on-campus):,"$21,315","$21,315",
,Housing Only (on-campus):,,,
,Food Only (on-campus meal plan):,,,
