0,1,2,3,4,5
"C. FIRST-TIME, FIRST-YEAR (FRESHMAN) ADMISSION",,,,,
"C8F If necessary, use this space to clarify your test policies Updated testing policy for Fall 2022 applicants
(e.g., if tests are recommended for some students, or if For the upcoming 2021–22 admission cycle, Stanford will not
tests are not required of some students): require ACT or SAT scores for first-year or transfer applicants. We
recognize the ongoing challenges created by the COVID-19
pandemic, including limited access to admission testing
worldwide, and are extending this year's test-optional policy to a
second year.
C8G Please indicate which tests your institution uses for placement (e.g., state tests):
X SAT
X ACT
SAT Subject Tests
AP
CLEP
Institutional Exam
State Exam (specify):
C9-C12: Freshman Profile
Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year
(freshman) students enrolled in Fall 2020, including students who began studies during summer, international
students/nonresident aliens, and students admitted under special arrangements.
C9 Percent and number of first-time, first-year (freshman) students enrolled in Fall 2020 who submitted
national standardized (SAT/ACT) test scores.
• Include information for ALL enrolled, degree-seeking, first-time, first-year (freshman) students
who submitted test scores.
• Do not include partial test scores (e.g., mathematics scores but not critical reading for a category of
students) or combine other standardized test results (such as TOEFL) in this item.
• Do not convert SAT scores to ACT scores and vice versa.
• If a student submitted multiple sets of scores for a single test, report this information according to how
you use the data. For example:
• If you consider the highest scores from either submission, use the highest combination of scores
(e.g., verbal from one submission, math from the other).
• If you average the scores, use the average to report the scores.",,,,,
,,Percent,Number,,
,Submitting SAT Scores,71.9%,1156,,
,Submitting ACT Scores,45.0%,725,,
,Assessment,25th Percentile,75th Percentile,,
,SAT Composite,1420,1550,,
,"SAT Evidence-Based Reading and
Writing",700,770,,
,SAT Math,720,800,,
,ACT Composite,31,35,,
,ACT Math,30,35,,
,ACT English,33,36,,
,ACT Writing,,,,
,,,,,
