0,1,2
"Total men who applied for first-time, first-year admission","42,004","sum = 84,289"
"Total women who applied for first-time, first-year admission","42,283",
"Total unknown sex who applied for first-time, first-year admission",2,
"Total men offered first-time, first-year admission","8,480","sum = 14,914
(18% of apps)"
"Total women offered first-time, first-year admission","6,434",
"Total full-time, first-time, first-year men who enrolled","3,060","sum = 3,069"
"Total part-time, first-time, first-year men who enrolled",9,
"Total full-time, first-time, first-year women who enrolled","3,964","sum = 3,981"
"Total part-time, first-time, first-year women who enrolled",17,
"Total full-time, first-time, first-year who enrolled","7,024","sum = 7,050 (47%
of adm)"
"Total part-time, first-time, first-year who enrolled",26,
