0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-
time first-year)","Total
Undergraduates
(both degree &
non-degree-"
Nonresidents,252,947,"1,002"
Hispanic/Latino,193,852,853
"Black or African American, non-Hispanic",165,665,665
"White, non-Hispanic",476,"2,436","2,440"
"American Indian or Alaska Native, non-Hispanic",7,20,20
"Asian, non-Hispanic",403,"1,623","1,624"
"Native Hawaiian or other Pacific Islander, non-Hisp",anic 5,10,10
"Two or more races, non-Hispanic",123,546,547
Race and/or ethnicity unknown,20,79,79
TOTAL,"1,644","7,178","7,240"
