0,1,2,3,4,5,6
,"Degree-Seeking
First-Time
First-Year",,"Degree-Seeking
Undergraduates
(include first-time first-
year)",,"Total
Undergraduates
(degree- and non-
degree-seeking)",
US nonresidents,298,4%,"2,715",8%,"2,866",9%
Hispanic/Latino,846,12%,"2,696",8%,"2,705",8%
"Black or African American, non-Hispanic",338,5%,"1,330",4%,"1,334",4%
"White, non-Hispanic","3,418",48%,"16,595",51%,"16,653",51%
"American Indian or Alaska Native, non-Hispanic",8,0%,39,0%,40,0%
"Asian, non-Hispanic","1,416",20%,"5,843",18%,"5,857",18%
"Native Hawaiian or other Pacific Islander, non-Hispanic",7,0%,18,0%,18,0%
"Two or more races, non-Hispanic",387,5%,"1,644",5%,"1,645",5%
Race and/or ethnicity unknown,332,5%,"1,568",5%,"1,577",5%
TOTAL,"7,050",100%,"32,448",100%,"32,695",100%
